organisation,wave,stage,people,measurement_date,women_share,methodology
Harbor Health Collective,Baseline,Inform,5100,2025-01-15,0.61,Registration and estimated indirect reach
Harbor Health Collective,Baseline,Engage,4300,2025-01-15,0.63,Unique workshop attendance
Harbor Health Collective,Baseline,Outcomes,3200,2025-01-15,0.64,Completed follow-up assessment
Harbor Health Collective,Baseline,Impact,2500,2025-01-15,0.65,Sustained behaviour at 90 days
Harbor Health Collective,Baseline,Societal,1400,2025-01-15,,Household spillover estimate
Harbor Health Collective,Endline,Inform,7500,2026-06-30,0.64,Registration and estimated indirect reach
Harbor Health Collective,Endline,Engage,6450,2026-06-30,0.66,Unique workshop attendance
Harbor Health Collective,Endline,Outcomes,5600,2026-06-30,0.67,Completed follow-up assessment
Harbor Health Collective,Endline,Impact,5600,2026-06-30,0.68,Sustained behaviour at 90 days
Harbor Health Collective,Endline,Societal,3500,2026-06-30,,Household spillover estimate
